"season","player_id","player","franchise_id","team","WAA","position","total_snaps"
2014,15316,"Andrew Hamilton",314,"TXSW",-0.004,"LB",8
2014,14711,"Andrew Hendrix",221,"OHMI",-0.026,"QB",838
2014,9733,"Andrew Hudson",340,"WAUN",0.174,"ED",903
2014,47042,"Andrew Isaacs",215,"MDUN",-0.012,"TE",155
2014,14609,"Andrew Jauch",206,"VALB",-0.005,"ED",17
2014,21452,"Andrew Jelks",333,"TNVA",-0.024,"T",643
2014,14600,"Andrew Johnson",210,"KYLO",0.027,"CB",297
2014,21723,"Andrew Kenney",242,"NMST",0,"LS",0
2014,49683,"Andrew King",114,"NYWP",-0.094,"LB",633
2014,30507,"Andrew Libby",216,"MAUN",-0.028,"FB",45
2014,13479,"Andrew Maass",140,"SCCL",-0.005,"WR",40
2014,12715,"Andrew Marshall",176,"GATC",-0.013,"C",127
2014,28266,"Andrew Matyk",165,"FLAT",-0.005,"QB",4
2014,38686,"Andrew McCleneghen",287,"TXMU",-0.024,"DI",293
2014,50022,"Andrew McLean",114,"NYWP",-0.01,"DI",19
2014,39495,"Andrew McNulty",251,"TXNO",-0.232,"QB",490
2014,27592,"Andrew Mike",163,"FLUN",-0.004,"G",1
2014,27116,"Andrew Mikkelsen",128,"UTBY",0,"K",0
2014,24092,"Andrew Moore",245,"NCUN",-0.004,"CB",4
2014,45323,"Andrew Nelson",266,"PAST",-0.004,"T",966
2014,16416,"Andrew Ness",254,"ILNO",0.171,"C",1044
2014,16750,"Andrew Oberg",325,"NVLV",0.033,"T",999
2014,16452,"Andrew Pratt",102,"OHAK",-0.22,"WR",439
2014,47359,"Andrew Price",325,"NVLV",-0.013,"TE",37
2014,19208,"Andrew Reue",275,"TXRI",0.165,"G",935
2014,21389,"Andrew Santiago",328,"UTUN",-0.004,"WR",2
2014,48025,"Andrew Scanlan",256,"ILNW",0.001,"WR",68
2014,49054,"Andrew Soroh",165,"FLAT",-0.004,"S",2
2014,22517,"Andrew Spears",117,"INBS",-0.002,"FB",30
2014,48881,"Andrew Stelter",225,"MNUN",-0.101,"DI",182
2014,18239,"Andrew Stone",192,"IAUN",0.001,"WR",27
2014,46116,"Andrew Tercek",120,"IDBO",-0.001,"G",31
2014,39577,"Andrew Terlingo",266,"PAST",-0.004,"T",11
2014,50589,"Andrew Trumbetti",258,"INND",-0.192,"ED",425
2014,14022,"Andrew Tryon",113,"ARST",0.264,"CB",776
2014,45979,"Andrew Tucker",251,"TXNO",0,"HB",9
2014,10112,"Andrew Turzilli",278,"NJRU",0.032,"WR",250
2014,47198,"Andrew Vollert",285,"CASJ",0.034,"TE",358
2014,10924,"Andrew Williamson",333,"TNVA",0.035,"S",625
2014,12333,"Andrew Wylie",160,"MIEA",-0.018,"G",587
2014,11140,"Andrew Zeller",215,"MDUN",-0.08,"G",856
2014,51360,"Andrews Dadeboe",126,"NYBU",0.084,"S",276
2014,9446,"Andrus Peat",300,"CAST",0.125,"T",849
2014,16949,"Andy Cunningham",242,"NMST",-0.008,"G",393
2014,28885,"Andy Dodd",211,"LAST",-0.003,"C",86
2014,49644,"Andy Flusche",251,"TXNO",-0.004,"ED",118
2014,9641,"Andy Gallik",121,"MABC",0.024,"C",885
2014,51570,"Andy James Garcia",273,"INPU",-0.038,"LB",75
2014,10810,"Andy Janovich",238,"NEUN",-0.007,"FB",124
2014,14771,"Andy Jomantas",248,"NCST",-0.002,"G",76
2014,22669,"Andy Kwon",174,"GASO",-0.002,"C",30
2014,18407,"Andy McAlindon",208,"LATC",-0.004,"TE",7
